company_name,manufacturing_cost,marketing_cost,shipping_cost,profit
Company_0775,229208,89083,55939,114342
Company_0776,204697,44531,34516,37774
Company_0777,263945,280856,146521,129108
Company_0778,281915,84744,55290,81411
Company_0779,777952,262859,131688,205172
Company_0780,258124,139749,91661,124587
Company_0781,487477,277253,77954,219659
Company_0782,575830,241809,27746,175050
Company_0783,333821,92503,72990,102926
Company_0784,227804,264346,63810,193789
Company_0785,755703,95708,123362,328291
Company_0786,89081,201184,138669,82500
Company_0787,768216,112471,7659,332362
Company_0788,405249,264225,91516,293623
Company_0789,269930,167661,79567,102409
Company_0790,855497,171087,20037,215946
Company_0791,567313,170081,131498,218691
Company_0792,264532,203118,17109,185340
Company_0793,662380,167215,27010,310858
Company_0794,569332,16154,13787,78367
Company_0795,366837,162876,144544,146866
Company_0796,339106,74288,66709,127712
Company_0797,78295,61195,39518,44920
Company_0798,63807,292725,58909,65705
Company_0799,485564,191002,23351,250321
Company_0800,207504,174053,20282,121790
Company_0801,288067,79298,10075,132622
Company_0802,535008,216376,33365,280649
Company_0803,742440,49499,16002,262182
Company_0804,444540,179631,18947,149051
Company_0805,927699,255198,99840,363224
Company_0806,567923,252997,121219,139539
Company_0807,216981,106347,83610,122933
Company_0808,794699,215735,57142,164167
Company_0809,69870,32431,61307,50421
Company_0810,253196,204555,140565,101043
Company_0811,298683,132720,55085,65804
Company_0812,284677,59153,39228,57299
Company_0813,76790,278512,48472,40618
Company_0814,693162,186076,54437,294688
Company_0815,861721,229724,64711,369646
Company_0816,498345,66985,142888,180227
Company_0817,799074,118737,82175,148406
Company_0818,537462,222133,69307,103667
Company_0819,589773,164470,51733,85222
Company_0820,880914,239465,133202,187691
Company_0821,136188,60861,100028,109103
Company_0822,579036,222977,147312,163721
Company_0823,792129,137118,97493,211797
Company_0824,714795,206713,130149,138401
Company_0825,840141,19078,13259,145449
Company_0826,698249,61047,133775,228418
Company_0827,80355,245458,19849,97589
Company_0828,761131,225048,86768,186269
Company_0829,501015,246293,111108,100709
Company_0830,456332,127832,94709,147525
Company_0831,206542,135150,59869,68370
Company_0832,223416,167087,131888,86646
Company_0833,355062,43320,68095,180973
Company_0834,888656,100827,122886,316902
Company_0835,613586,269931,75910,256227
Company_0836,551708,34826,28567,138233
Company_0837,916651,110734,40292,244159
Company_0838,111629,167702,79813,94193
Company_0839,378184,239834,102136,222476
Company_0840,542734,187235,56631,244352
Company_0841,805195,108511,14885,140689
Company_0842,340160,283797,71314,173841
Company_0843,598248,169033,70087,187224
Company_0844,870023,91941,100998,383897
Company_0845,263920,215209,54812,154536
Company_0846,939765,108818,63643,288902
Company_0847,292804,162360,49900,67990
Company_0848,426965,263627,143923,235075
Company_0849,510857,105081,21288,86128
Company_0850,872827,46877,77692,200638
Company_0851,554492,221957,143440,131408
Company_0852,703983,82715,90436,269825
Company_0853,465916,151398,51403,108248
Company_0854,871052,120091,96170,236553
Company_0855,808574,142632,14168,355935
Company_0856,178148,93186,54879,52616
Company_0857,856991,172962,64871,276269
Company_0858,536261,161094,37174,165843
Company_0859,405540,80316,142653,66268
Company_0860,242714,38380,115155,133863
Company_0861,781899,120198,76853,118172
Company_0862,333876,274500,69046,164123
Company_0863,309747,80326,54678,119283
Company_0864,665650,124994,31649,237254
Company_0865,473570,230971,132795,256718
Company_0866,325987,292193,93668,125272
Company_0867,688353,288226,94906,110356
Company_0868,908158,272805,101019,406430
Company_0869,67640,178484,83002,85802
Company_0870,102528,275064,33803,144331
Company_0871,874845,255378,35795,403927
Company_0872,309214,281090,13770,213236
Company_0873,889070,235314,16093,280019
Company_0874,551108,245612,136265,186679
Company_0875,684421,288453,105311,363852
Company_0876,418501,65230,22569,119177
Company_0877,774226,69321,16190,133287
Company_0878,200159,142028,67824,146165
Company_0879,222502,241447,47070,186403
Company_0880,205576,298107,45197,131672
Company_0881,974618,111757,7261,134199
Company_0882,915291,276847,142788,288808
Company_0883,936089,206200,91795,420898
Company_0884,978479,82099,33933,405551
Company_0885,61023,172932,140450,60294
Company_0886,595735,41585,45583,82011
Company_0887,438043,53585,117082,221086
Company_0888,336103,299102,90371,157320
Company_0889,116203,298161,116032,139243
Company_0890,955588,289922,47604,504857
Company_0891,210775,186313,100074,59644
Company_0892,59337,52229,78869,56082
Company_0893,620715,96652,10410,88957
Company_0894,564723,259474,88375,194049
Company_0895,373673,189436,101055,226575
Company_0896,414167,270116,142868,190279
Company_0897,396809,29975,91716,206961
Company_0898,680075,167795,59245,242850
Company_0899,737281,219373,48056,197273
Company_0900,345451,207133,63557,102299
Company_0901,470571,190225,22543,140191
Company_0902,177016,299060,101038,122209
Company_0903,841267,74324,8828,111497
Company_0904,594447,186037,121656,190236
Company_0905,547562,145720,22087,171167
Company_0906,752965,176205,148677,341484
Company_0907,433934,106059,36337,171180
Company_0908,942048,108317,141554,372629
Company_0909,915184,211207,70333,122675
Company_0910,367428,111459,141535,102555
Company_0911,369187,247697,75448,206664
Company_0912,740907,210422,9648,235628
Company_0913,933439,111520,135576,119935
Company_0914,132844,71272,38623,82858
Company_0915,601820,233224,40634,290587
Company_0916,215421,154832,119598,129578
Company_0917,172402,162999,54334,46744
Company_0918,168012,71367,73648,103284
Company_0919,488661,239027,27054,207640
Company_0920,448929,242750,75028,256530
Company_0921,630466,245806,27207,294104
Company_0922,623695,193305,86554,308022
Company_0923,513556,54738,88276,167689
Company_0924,625278,43397,57781,103227
Company_0925,179473,212332,66035,137968
Company_0926,528007,121453,13210,189617
Company_0927,894573,29816,49363,314206
Company_0928,467009,255011,83279,121571
Company_0929,368714,223567,139393,115964
Company_0930,276156,81635,86348,163053
Company_0931,218964,226184,118816,183284
Company_0932,575303,192958,128053,333848
Company_0933,111813,287707,71262,154235
Company_0934,77712,102324,139832,89290
Company_0935,674785,233536,72411,290531
Company_0936,975919,242944,28377,457410
Company_0937,817214,281991,43211,312613
Company_0938,162816,36155,8744,60178
Company_0939,178778,126891,29995,49323
Company_0940,636580,159381,39542,202339
Company_0941,335977,141691,15651,155355
Company_0942,185230,44707,104239,60580
Company_0943,768040,207576,83931,170244
Company_0944,856741,188686,107112,223763
Company_0945,319114,232500,21715,98870
Company_0946,384618,272425,66350,118979
Company_0947,882972,168492,76425,256544
Company_0948,201456,180102,91120,176002
Company_0949,854449,227285,119889,302950
Company_0950,912312,169476,146130,192017
Company_0951,155570,244554,79637,59054
Company_0952,320846,170928,75194,175106
Company_0953,967888,150272,81917,257824
Company_0954,50404,129273,69200,86248
Company_0955,753286,182307,110848,311685
Company_0956,996693,258500,111022,462972
Company_0957,324907,176129,65058,102793
Company_0958,723744,142311,67068,287129
Company_0959,765460,244746,104932,199853
Company_0960,934574,255546,142103,508536
Company_0961,715220,206733,27785,276290
Company_0962,285365,136945,99475,102976
Company_0963,392786,55272,7282,82349
Company_0964,100612,156470,72534,51841
Company_0965,860006,130030,79964,329979
Company_0966,859956,16570,124006,165702
Company_0967,250244,19110,55583,90524
Company_0968,847348,89141,43392,175781
Company_0969,54809,22115,12461,26689
Company_0970,213273,49062,105123,126582
Company_0971,758690,295055,15516,356499
Company_0972,194528,114061,126251,142738
Company_0973,556964,11969,67493,99484
Company_0974,499613,131863,41027,85082
Company_0975,957720,282369,98547,414555
Company_0976,88765,133008,105127,68813
Company_0977,881538,164268,84003,259521
Company_0978,366076,115823,44758,57587
Company_0979,984604,285813,59312,236522
Company_0980,893523,120677,73670,119777
Company_0981,596237,256958,87279,342102
Company_0982,251152,58320,20434,57080
Company_0983,349888,156649,80769,156928
Company_0984,750903,135354,71677,106995
Company_0985,944751,98009,88555,339455
Company_0986,142193,267437,133379,106922
Company_0987,86187,38625,106665,85501
Company_0988,555950,222112,73803,312153
Company_0989,188311,296233,96703,114846
Company_0990,960886,46487,26312,382761
Company_0991,850921,238071,122961,483384
Company_0992,558153,183895,45379,273729
Company_0993,239089,111376,22297,131756
Company_0994,636165,253341,7011,156623
Company_0995,486341,291652,125234,246590
Company_0996,362066,168056,49014,69598
Company_0997,668362,120169,147810,120296
Company_0998,737409,280269,99333,446433
Company_0999,611419,46059,16120,133366
Company_1000,690053,113409,144839,307681
